DateTime,Transaction,Product,LineItem,Amount,BalanceDetails,OrderDate,Payment,OrderNumber,AuthCode,Total
Jul-31-2018 01:05 PM,Tap in at Inlet Centre Stn,1 Zone Monthly Pass,,-$2.75,$16.35,,,,,
Jul-28-2018 02:02 PM,Tap out at Templeton Stn,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-28-2018 01:42 PM,Transfer at Broadway-City Hall Stn,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-28-2018 01:20 PM,Tap in at Bus Stop 50276,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-27-2018 03:55 PM,Tap in at Bus Stop 58099,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-27-2018 12:50 PM,Tap out at Vancouver City Centre Stn,1 Zone Monthly Pass,,$2.75,$19.10,,,,,
Jul-27-2018 12:45 PM,Transfer at Olympic Village Stn,1 Zone Monthly Pass,,-$2.75,$16.35,,,,,
Jul-27-2018 12:23 PM,Tap in at Bus Stop 50347,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-27-2018 10:39 AM,Tap in at Bus Stop 58099,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-27-2018 08:46 AM,Tap in at Bus Stop 50347,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-26-2018 02:39 PM,Tap in at Bus Stop 58099,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-26-2018 08:28 AM,Tap in at Bus Stop 50347,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-25-2018 02:06 PM,Tap in at Bus Stop 58099,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-25-2018 09:27 AM,Tap in at Bus Stop 50347,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-24-2018 05:25 PM,Tap in at Bus Stop 58099,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-24-2018 08:44 AM,Tap in at Bus Stop 50347,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-23-2018 04:55 PM,Tap in at Bus Stop 58099,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-20-2018 08:28 AM,Tap in at Bus Stop 50347,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-19-2018 05:26 PM,Tap in at Bus Stop 58099,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-19-2018 08:39 AM,Tap in at Bus Stop 50347,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-18-2018 12:58 PM,Tap in at Bus Stop 50347,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-17-2018 05:13 PM,Tap in at Bus Stop 58099,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-14-2018 02:44 PM,Transfer at Bus Stop 61935,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-14-2018 02:09 PM,Transfer at Bus Stop 60273,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-14-2018 02:03 PM,Tap in at Bus Stop 58023,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-13-2018 05:46 PM,Tap in at Bus Stop 58099,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-13-2018 08:25 AM,Tap in at Bus Stop 50347,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-12-2018 04:54 PM,Tap in at Bus Stop 58099,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-11-2018 08:36 AM,Tap in at Bus Stop 50347,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
Jul-10-2018 05:09 PM,Tap in at Bus Stop 58099,1 Zone Monthly Pass,,$0.00,$19.10,,,,,
